Station,County,Line,London_Terminus,Operator,Drive_Time_Horsham_Minutes,Drive_Time_Hertford_Minutes,Latitude,Longitude,Train_Times_To_Terminals,Min_Train_Time_Minutes
Uckfield,East Sussex,Uckfield Line (Southern),London Bridge,,46,103,50.966414,0.09591300000000001,London Bridge:82,82
Upper Halliford,Surrey,Shepperton Branch (SWR),Waterloo,,53,63,51.4008975,-0.4321257000000001,Waterloo:70,70
Upper Warlingham,Surrey,Oxted Line (Southern),Victoria / London Bridge,,34,77,51.308554,-0.07797319999999999,"Victoria:30, London Bridge:30",30
Virginia Water,Surrey,Reading via Ascot (SWR),Waterloo,,53,60,51.4060025,-0.578607,Waterloo:51,51
Wadhurst,East Sussex,Hastings Line (Southeastern),Charing Cross,,64,90,51.061756,0.33802,Charing Cross:66,66
Walton-on-Thames,Surrey,South Western Main Line (SWR),Waterloo,,50,71,51.38847,-0.416969,Waterloo:35,35
Walton-on-the-Naze,Essex,Greater Anglia,Liverpool Street,,127,88,51.846277,1.2678567,Liverpool Street:118,118
Ware,Hertfordshire,West Anglia Main Line (Greater Anglia),Liverpool Street,,94,5,51.8080371,-0.0287345,Liverpool Street:50,50
Wareham,Dorset,South Western Main Line (SWR),Waterloo,,137,168,50.687817,-2.110981,Waterloo:336,336
Warminster,Wiltshire,GWR,Paddington,,133,153,51.206854,-2.17676,Paddington:147,147
Warwick,Warwickshire,Chiltern Railways,Marylebone,,132,118,52.286525,-1.5818183,Marylebone:90,90
Warwick Parkway,Warwickshire,Chiltern Railways,Marylebone,,133,120,52.2861537,-1.6119789,Marylebone:95,95
Waterbeach,Cambridgeshire,Greater Anglia,Liverpool Street,,135,57,52.26558199999999,0.191002,Liverpool Street:91,91
Wateringbury,Kent,Medway Valley (Southern),Victoria,,55,74,51.2554621,0.4231473,Victoria:99,99
Watford Junction,Hertfordshire,West Coast Main Line (LNR),Euston,,74,38,51.66367529999999,-0.3960678,Euston:23,23
Welwyn Garden City,Hertfordshire,East Coast Main Line (Thameslink),King's Cross / St Pancras,,89,15,51.800681,-0.2038783,"King's Cross:35, St Pancras:36",35
Welwyn North,Hertfordshire,East Coast Main Line (Thameslink),King's Cross / St Pancras,,95,13,51.823502,-0.192067,"King's Cross:21, St Pancras:22",21
West Byfleet,Surrey,South Western Main Line (SWR),Waterloo,,48,73,51.337352,-0.503315,Waterloo:47,47
Westbury,Wiltshire,GWR,Paddington,,142,154,51.2664561,-2.1991216,Paddington:102,102
Westcliff,Essex,c2c,Fenchurch Street,,86,65,51.5373432,0.6914547999999999,Fenchurch Street:52,52
West Malling,Kent,Maidstone East Line (Southeastern),Victoria,,53,70,51.2915409,0.4191131,Victoria:62,62
Weston-super-Mare,North Somerset,GWR,Paddington,,180,177,51.3444593,-2.9721312,Paddington:145,145
West Worthing,West Sussex,West Coastway (Southern),Victoria,,28,125,50.818295,-0.3931343,Victoria:89,89
Weybridge,Surrey,South Western Main Line (SWR),Waterloo,,49,68,51.3617837,-0.4578637999999999,Waterloo:29,29
Weymouth,Dorset,South Western Main Line (SWR),Waterloo,,157,189,50.6153617,-2.4542145,Waterloo:370,370
Whitchurch,Hampshire,South Western Main Line (SWR),Waterloo,,222,188,52.9680161,-2.6717882,Waterloo:369,369
Windsor & Eton Central,Berkshire,Slough Branch (GWR / Elizabeth Line),Paddington,,62,59,51.4831824,-0.6098428000000001,Paddington:53,53
Windsor & Eton Riverside,Berkshire,Windsor Line (SWR),Waterloo,,61,58,51.485649,-0.6065170000000001,Waterloo:65,65
Winchelsea,East Sussex,Marshlink Line (Southeastern),Charing Cross,,93,116,50.93376,0.70229,Charing Cross:97,97
Winchester,Hampshire,South Western Main Line (SWR),Waterloo,,84,113,51.059771,-1.310142,Waterloo:63,63
